step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
2,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3703.4308,0.5,7,5,3,1,2,5,3,5,6,0
3,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31893.111,0.8,9,7,9,7,7,9,10,3,8,2
3,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,19989.8275,0.8,8,7,10,9,1,10,10,7,8,2
3,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27869.8512,0,6,3,8,4,8,8,7,2,7,2
3,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3725.8053,0.5,2,3,1,4,1,1,2,1,1,0
4,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31335.1506,0.9,6,3,3,6,5,4,5,1,4,2
4,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,26788.1547,0.9,4,2,2,0,1,3,4,3,3,2
4,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27308.774,0,8,5,4,6,7,6,5,2,8,2
4,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3740.8345,0.5,4,2,1,2,1,1,2,2,3,0
5,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31939.1813,1,7,2,2,9,2,8,7,4,5,2
5,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18046.2632,1,7,3,2,9,1,9,9,4,4,2
5,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,29193.7835,0,5,1,1,8,1,2,1,2,4,2
5,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3944.7721,0.5,1,2,1,8,1,1,1,2,1,0
6,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31604.6275,1,2,3,7,5,8,9,8,3,4,2
6,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18903.7991,1,5,2,3,8,1,8,7,4,6,2
6,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,28806.8296,0,3,5,4,4,3,6,3,2,8,2
6,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3778.7126,0.5,3,4,1,5,2,1,1,1,2,0
7,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,32341.5356,1,9,9,10,8,10,9,8,5,10,2
7,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18593.2824,1,9,7,10,9,9,10,9,9,9,2
7,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,29102.5153,0,9,8,7,9,10,7,5,5,9,2
7,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3766.2651,0.5,1,1,1,3,1,1,1,1,1,0
8,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,34282.5562,1,6,9,10,3,10,9,9,4,10,2
8,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18503.7888,1,7,6,7,8,7,8,8,2,8,2
8,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,28214.0338,0,8,4,5,7,7,7,5,1,4,2
8,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3669.3086,0.5,5,3,2,6,4,2,3,1,3,0
9,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,33053.2954,1,9,7,10,10,10,8,8,1,10,2
9,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18146.7541,1,8,6,3,9,5,9,8,2,6,2
9,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,28759.3884,0,8,3,2,10,3,8,7,1,6,2
9,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3805.0004,0.5,3,1,1,7,5,1,1,1,3,0
10,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,33926.7797,1,10,8,2,10,10,7,6,2,10,2
10,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,17901.3586,1,8,9,5,9,9,8,7,1,9,2
10,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27418.658,0,8,6,9,10,10,9,9,3,9,2
10,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3767.2055,0.5,3,4,1,10,2,1,1,1,3,0
11,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31554.1985,1,10,10,10,8,10,10,9,3,10,2
11,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18337.1543,1,9,10,10,9,9,8,7,2,9,2
11,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,28217.1054,0,8,9,2,6,2,8,7,4,7,2
11,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3757.8795,0.5,2,2,1,7,1,2,2,1,1,0
12,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31881.5451,1,8,9,9,5,10,7,8,3,10,2
12,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18228.6583,1,8,8,6,9,8,9,9,3,9,2
